AE2STUFF 0.1.6.14
APPLECORE 1.1.0
APPLIEDENERGISTICS2 rv2-beta-8
AROMA1997CORE 1.0.2.9
AROMA1997SDIMENSIONALWORLD 1.0.2.16
AROMABACKUP 0.0.0.5
ATUM 0.6.34
BACKPACK 2.0.0
BDLIB 1.6.5.52
BETTERSTORAGE 0.12.0.124
BIBLIOCRAFT 1.10.0
BIBLIOWOODSBIOMESOPLENTY.jar 1.9
BIBLIOWOODSFORESTRY 1.7
BIBLIOWOODSNATURA 1.5
BIGREACTORS 0.4.0rc11
BINNIEMODS 2.0-dev5
BIOMESOPLENTY 2.1.0.1057
BLOODMAGIC 1.3.0a-1
BRAINCORE 0.3.1
BUILDCRAFT 6.3.4
BUILDCRAFTADDITIONS 2.0.2
CARPENTERSBLOCKS 3.3.3
CHISEL2 2.3.5.31
CODECHICKENCORE 1.0.4.29
COFHCORE 3.0.0RC7-211
COFHLIB 1.0.0B8-34
COMPACTMACHINES 1.17
COMPUTERCRAFT 1.65
DIMENSIONALANCHOR 59.0.2
DYNMAP 2.1
EASYCRAFTING 2.0.1.16
ENCHANTINGPLUS 3.0.1
ENDERIO 2.2.6.322
ENDERSTORAGE 1.4.5.27
EXTENDEDAUTOMATION 0.3
EXTRACELLS 2.2.46b72
EXTRAUTILITIES 1.2.0
FACTORIZATION 0.8.88.7
FASTCRAFT 1.19
FORESTRY 3.4.0.7
GENDUSTRY 1.4.4.54
GYTH 1.0.0
HATS 4.0.1
HATSTAND 4.0.0
HUNGEROVERHAUL 1.7.10-beta5
ICHUNUTIL 4.1.2
IGUANATINKERTWEAKS 2.1.2
IMMIBISCORE 59.0.5
INFINITUBES 59.0.3
INVENTORYTWEAKS 1.59-dev-153
IRONCHEST 6.0.62.742
JABBA 1.1.4
LUCKYBLOCK 5.1.0
MALISISCORE 0.10.5
MALISISDOORS 1.4.3
MANTLE 0.3.2
MEKANISM 7.1.1.145
MEKANISMGENERATORS 7.1.1.145
MEKANISMTOOLS 7.1.1.145
MINEFACTORYRELOADED 2.8.0RC8-86
MINETWEAKER3 3.0.7
MOBIUSCORE 1.2.3
MORPH 0.9.1
MORPHEUS 1.5.19
MSMSNAP 3.0.0e
MYSTCRAFT 0.11.0.00
NATURA 2.2.0.1
NEIADDONS 1.12.3.12
NEIPLUGINS 1.1.0.9
NETHERORES 2.3.0RC4-4
NOTENOUGHITEMS 1.0.4.83
OBSIDIPLATES 3.0.0.18
OPENBLOCKS 1.3-snapshot-549
OPENEYE 0.6
OPENMODSLIB 0.6-snapshot-304
OPENPERIPHERALADDONS 0.2.0-snapshot-145
OPENPERIPHERALCORE 0.5.0-snapshot-191
OPENPERIPHERALINTEGRATION 0.1.0-snapshot-35
OREDICTIONARYCONVERTER 1.5.2
PAMSHARVESTCRAFT 1.7.10g
PNEUMATICCRAFT 1.5.4-56
POWERCONVERTERS 3.0.2.38
PRESSURE 1.0.2.50
PROJECTBLUE 1.1.2
PROJECTE 1.3.0
PROJECTREDBASE 4.5.14.66
PROJECTREDCOMPAT 4.5.14.66
PROJECTREDINTEGRATION 4.5.14.66
PROJECTREDLIGHTING 4.5.14.66
PROJECTREDMECHANICAL 4.5.14.66
PROJECTREDWORLD 4.5.14.66
QUARRYPLUS 2.0.0
RAILCRAFT 9.4.0.0-DNS
RANDOMTHINGS 2.2.0
REALISTICWORLDGEN 1.3.01
REDSTONEARSENAL 1.1.0RC1-19
REMOTEIO 1.8.1.B84
SPICEOFLIFE 1.2.3
SUPERCRAFTINGFRAME 1.7.10.1
THAUMCRAFT 4.2.1.4
THAUMICTINKERER 2.5-1.7.10-158
THERMALEXPANSION 4.0.0RC7-141
THERMALFOUNDATION 1.0.0RC7-62
TINKERSCONSTRUCT 1.8.2a
TINKERSMECHWORKS 0.2.9
TRANSLOCATOR 1.1.1.14
TREECAPITATOR 2.0.4
TUBES 2.0.5
TUBESTUFF 59.0.1
TWILIGHTFOREST 2.3.2
USEFULDNS 2.2.8
WAILA 1.5.8a
WAWLA 1.1.1
WITCHERY 0.20.6
WRCBE 1.4.1.9
